"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 11 14:38:53 UTC 2026","Fri Sep 11 14:38:53 UTC 2026","127","","Posts CRUD Tests","","qa.api.ApiTest","getPostById_parameterized","GET /posts/{id} — параметризованный тест для ID 1-10 Post ID = 4",""
"passed","Fri Sep 11 14:38:51 UTC 2026","Fri Sep 11 14:38:51 UTC 2026","84","","Users API Tests","","qa.api.UsersApiTest","getAllUsers_shouldReturn10","GET /users — вернуть список из 10 пользователей",""
"passed","Fri Sep 11 14:38:54 UTC 2026","Fri Sep 11 14:38:54 UTC 2026","135","","Posts CRUD Tests","","qa.api.ApiTest","getPostById_parameterized","GET /posts/{id} — параметризованный тест для ID 1-10 Post ID = 8",""
"passed","Fri Sep 11 14:38:55 UTC 2026","Fri Sep 11 14:38:56 UTC 2026","127","","Comments, Albums, Todos Tests","","qa.api.MiscApiTest","getAllAlbums_shouldReturn100","GET /albums — вернуть 100 альбомов",""
"passed","Fri Sep 11 14:38:52 UTC 2026","Fri Sep 11 14:38:52 UTC 2026","107","","Posts CRUD Tests","","qa.api.ApiTest","createPost_emptyBody_shouldHandleGracefully","POST /posts — пустое тело запроса",""
"passed","Fri Sep 11 14:38:55 UTC 2026","Fri Sep 11 14:38:55 UTC 2026","165","","Comments, Albums, Todos Tests","","qa.api.MiscApiTest","getComments_emailsShouldBeValid","GET /comments — email содержит @",""
"passed","Fri Sep 11 14:38:53 UTC 2026","Fri Sep 11 14:38:53 UTC 2026","104","","Posts CRUD Tests","","qa.api.ApiTest","getPostById_parameterized","GET /posts/{id} — параметризованный тест для ID 1-10 Post ID = 5",""
"passed","Fri Sep 11 14:38:56 UTC 2026","Fri Sep 11 14:38:56 UTC 2026","110","","Comments, Albums, Todos Tests","","qa.api.MiscApiTest","getPosts_responseTimeShouldBeFast","GET /posts — ответ быстрее 2000мс",""
"passed","Fri Sep 11 14:38:50 UTC 2026","Fri Sep 11 14:38:51 UTC 2026","426","","Users API Tests","","qa.api.UsersApiTest","getUserById_shouldHaveAllFields","GET /users/1 — все поля заполнены",""
"passed","Fri Sep 11 14:38:56 UTC 2026","Fri Sep 11 14:38:56 UTC 2026","159","","Comments, Albums, Todos Tests","","qa.api.MiscApiTest","getAllTodos_shouldReturn200","GET /todos — вернуть 200 задач",""
"passed","Fri Sep 11 14:38:55 UTC 2026","Fri Sep 11 14:38:55 UTC 2026","103","","Posts CRUD Tests","","qa.api.ApiTest","getPostsByUserId_shouldReturnFiltered","GET /posts?userId=1 — фильтрация по пользователю",""
"passed","Fri Sep 11 14:38:52 UTC 2026","Fri Sep 11 14:38:52 UTC 2026","311","","Posts CRUD Tests","","qa.api.ApiTest","createPost_shouldReturn201","POST /posts — создать пост (статус 201)",""
"passed","Fri Sep 11 14:38:51 UTC 2026","Fri Sep 11 14:38:51 UTC 2026","180","","Users API Tests","","qa.api.UsersApiTest","getUsersByName_shouldFilter","GET /users?name=Leanne — поиск по имени",""
"passed","Fri Sep 11 14:38:55 UTC 2026","Fri Sep 11 14:38:55 UTC 2026","160","","Comments, Albums, Todos Tests","","qa.api.MiscApiTest","getTodosByUserAndStatus","GET /todos?userId=1&completed=false — невыполненные пользователя 1",""
"passed","Fri Sep 11 14:38:56 UTC 2026","Fri Sep 11 14:38:56 UTC 2026","176","","Comments, Albums, Todos Tests","","qa.api.MiscApiTest","getAllComments_shouldReturn500","GET /comments — вернуть 500 комментариев",""
